Student ID,Incident Description,Incident Place,Action,Date
79313151137,Incident that happened,Classroom,1 DAY OSS,10/11/2018
79313151137,Incident that happened,Classroom,,
79313151137,Incident that happened,Office,PARENT CONTACT / CONFERENCE,11/8/2018
79313151137,Incident that happened,Classroom,PARENT CONTACT / CONFERENCE,11/12/2018
77593755197,Incident that happened,Classroom,1 DAY ISS,5/16/2019
71531757713,Incident that happened,Classroom,,
73951519331,Incident that happened,Halls,PRINCIPAL/STUDENT CONFERENCE,9/11/2018
73951519331,Incident that happened,Cafeteria,1 DETENTION ASSIGNED,9/27/2018
73951519331,Incident that happened,Classroom,PRINCIPAL/STUDENT CONFERENCE,9/27/2018
73951519331,Incident that happened,Cafeteria,1 DETENTION ASSIGNED,10/2/2018
73951519331,Incident that happened,Cafeteria,1 DETENTION ASSIGNED,10/2/2018
73951519331,Incident that happened,Classroom,RESTITUTION,10/9/2018
73951519331,Incident that happened,Halls,1 DETENTION ASSIGNED,10/9/2018
73951519331,Incident that happened,Gym,1 DAY ISS,10/18/2018
73951519331,Incident that happened,Classroom,PRINCIPAL/STUDENT CONFERENCE,1/25/2019
73951519331,Incident that happened,Classroom,1 DETENTION ASSIGNED,1/31/2019
73951519331,Incident that happened,Classroom,1 DETENTION ASSIGNED,2/4/2019
73951519331,Incident that happened,Halls,,2/4/2019
73951519331,Incident that happened,Halls,1 DAY ISS,4/25/2019
73951519331,Incident that happened,Classroom,2 HOURS ISS,5/29/2019
71377317197,Incident that happened,Halls,3 DAYS ISS,2/5/2019
75975577317,Incident that happened,Classroom,WARNING,10/4/2018
75975577317,Incident that happened,Classroom,WARNING,10/29/2018
75975577317,Incident that happened,Classroom,4 DETENTIONS ASSIGNED,10/31/2018
75975577317,Incident that happened,Classroom,3 DAYS ISS,11/26/2018
75975577317,Incident that happened,Classroom,4 DETENTIONS ASSIGNED,12/17/2018
75975577317,Incident that happened,Classroom,1 DETENTION ASSIGNED,1/14/2019
75975577317,Incident that happened,Classroom,,
75975577317,Incident that happened,Classroom,,
75975577317,Incident that happened,Classroom,,
75975577317,Incident that happened,Classroom,1 DAY ISS,2/13/2019
75975577317,Incident that happened,Classroom,,
75975577317,Incident that happened,Classroom,3 DAYS ISS,2/25/2019
75975577317,Incident that happened,Halls,2 DETENTIONS ASSIGNED,3/18/2019
75975577317,Incident that happened,Halls,1 DAY ISS,4/12/2019
79551317539,Incident that happened,Playground,,
71519711997,Incident that happened,Classroom,2 DAYS ISS,12/17/2018
79195371353,Incident that happened,Classroom,1 DETENTION ASSIGNED,9/4/2018
79195371353,Incident that happened,Classroom,1 DAY ISS,3/15/2019
79195371353,Incident that happened,Classroom,1 DAY ISS,4/2/2019
79195371353,Incident that happened,Cafeteria,,
75195553395,Incident that happened,Loc/Bus,WARNING,9/24/2018
